Timestamp	Call	MHz	SNR	Drift	Grid	Pwr	Reporter	RGrid	km	az	GLat	GLong	RLat	RLong
2017-12-13T19:08:00Z	ZS6HAK	7.040177	-21	-4	KG43av	5	DL0HMK	JO54af	9098	349	-26.125	28.0	54.208333333333336	10.0
2017-12-13T19:08:00Z	ZS6HAK	7.040160	-27	-4	KG43av	5	DK7FD	JO41qi	8805	348	-26.125	28.0	51.333333333333336	9.333333333333334
2017-12-13T19:08:00Z	ZS6HAK	7.040152	-24	-4	KG43av	5	DL0HT	JO43jb	8998	348	-26.125	28.0	53.041666666666664	8.75
2017-12-13T19:08:00Z	ZS6HAK	7.040164	-27	-4	KG43av	5	DC5AL-R	JO31lk	8866	347	-26.125	28.0	51.416666666666664	6.916666666666667
2017-12-13T19:08:00Z	ZS6HAK	7.040144	-16	-4	KG43av	5	DK6UG	JN49cm	8636	347	-26.125	28.0	49.5	8.166666666666666
2017-12-13T19:08:00Z	ZS6HAK	7.040156	-18	-4	KG43av	5	DK4BM	JO43jg	9020	348	-26.125	28.0	53.25	8.75
2017-12-13T19:08:00Z	ZS6HAK	7.040169	-28	-4	KG43av	5	DK8JP/1	JO31gk	8875	347	-26.125	28.0	51.416666666666664	6.5
2017-12-13T19:08:00Z	ZS6HAK	7.040157	-21	-4	KG43av	5	DF2JP	JO31hh	8860	347	-26.125	28.0	51.291666666666664	6.583333333333333
2017-12-13T19:08:00Z	ZS6HAK	7.040161	-24	-4	KG43av	5	HB9FKP	JN36su	8370	346	-26.125	28.0	46.833333333333336	7.5
2017-12-13T19:08:00Z	ZS6HAK	7.040131	-23	-4	KG43av	5	OH6IJ	KP12wv	9903	358	-26.125	28.0	62.875	23.833333333333332
2017-12-13T19:08:00Z	ZS6HAK	7.040193	-23	-4	KG43av	5	DL/PA0EHG	JO32sq	8984	348	-26.125	28.0	52.666666666666664	7.5
2017-12-13T19:08:00Z	ZS6HAK	7.040162	-24	-4	KG43av	5	G4PCI	IO81xj	9106	342	-26.125	28.0	51.375	-2.083333333333333
2017-12-13T19:08:00Z	ZS6HAK	7.040156	-18	-4	KG43av	5	DJ0ABR	JN68nt	8461	350	-26.125	28.0	48.791666666666664	13.083333333333334
2017-12-13T19:08:00Z	ZS6HAK	7.040183	-23	-4	KG43av	5	RA9OAQ	NO14	10379	28	-26.125	28.0	54	82
2017-12-13T19:08:00Z	ZS6HAK	7.040155	-15	-4	KG43av	5	DH5RAE	JN68qv	8466	350	-26.125	28.0	48.875	13.333333333333334
2017-12-13T19:08:00Z	ZS6HAK	7.040157	-28	-4	KG43av	5	VK5MR	PF89kk	10172	125	-26.125	28.0	-30.583333333333332	136.83333333333334
2017-12-13T19:08:00Z	ZS6HAK	7.040160	-18	-4	KG43av	5	DF6MK	JN68ik	8428	350	-26.125	28.0	48.416666666666664	12.666666666666666
2017-12-13T19:42:00Z	ZS6HAK	7.040118	-25	-4	KG43av	5	EB3EI	JN11fm	7968	340	-26.125	28.0	41.5	2.4166666666666665
2017-12-13T20:30:00Z	ZS6HAK	7.040161	-21	-4	KG43av	5	G7RMG	IO80tu	9064	341	-26.125	28.0	50.833333333333336	-2.416666666666667
2017-12-13T20:40:00Z	ZS6HAK	7.040158	-24	-4	KG43av	5	G7RMG	IO80tu	9064	341	-26.125	28.0	50.833333333333336	-2.416666666666667
2017-12-13T20:50:00Z	ZS6HAK	7.040159	-24	-4	KG43av	5	G7RMG	IO80tu	9064	341	-26.125	28.0	50.833333333333336	-2.416666666666667
2017-12-13T20:58:00Z	ZS6HAK	7.040158	-23	-4	KG43av	5	G7RMG	IO80tu	9064	341	-26.125	28.0	50.833333333333336	-2.416666666666667
2017-12-13T21:06:00Z	ZS6HAK	7.040156	-23	-3	KG43av	5	G7RMG	IO80tu	9064	341	-26.125	28.0	50.833333333333336	-2.416666666666667
2017-12-13T22:22:00Z	ZS6HAK	7.040160	-27	-4	KG43av	5	K1EHZ	FN42ex	12701	308	-26.125	28.0	42.958333333333336	-71.66666666666667
